"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"St. Louis","St. Louis","St. Louis County","29189","MO","Missouri","38.6405","-90.4433","996919"
"Honolulu","Honolulu","Honolulu County","15003","HI","Hawaii","21.5008","-158.1053","984821"
"Fresno","Fresno","Fresno County","06019","CA","California","36.7582","-119.6493","984521"
"Collin","Collin","Collin County","48085","TX","Texas","33.1879","-96.5724","973977"
"Westchester","Westchester","Westchester County","36119","NY","New York","41.1623","-73.7561","968890"
"Pinellas","Pinellas","Pinellas County","12103","FL","Florida","27.9196","-82.7256","964666"
"Marion","Marion","Marion County","18097","IN","Indiana","39.7817","-86.1385","951869"
"Milwaukee","Milwaukee","Milwaukee County","55079","WI","Wisconsin","43.0072","-87.9668","951226"
"Fairfield","Fairfield","Fairfield County","09001","CT","Connecticut","41.2708","-73.3894","943926"
"Shelby","Shelby","Shelby County","47157","TN","Tennessee","35.1840","-89.8955","936374"
"Duval","Duval","Duval County","12031","FL","Florida","30.3316","-81.6708","936186"
"Bergen","Bergen","Bergen County","34003","NJ","New Jersey","40.9596","-74.0742","930390"
"DuPage","DuPage","DuPage County","17043","IL","Illinois","41.8520","-88.0856","929060"
"Erie","Erie","Erie County","36029","NY","New York","42.7640","-78.7323","919355"
"Gwinnett","Gwinnett","Gwinnett County","13135","GA","Georgia","33.9617","-84.0236","915046"
"Prince George's","Prince George's","Prince George's County","24033","MD","Maryland","38.8295","-76.8473","908670"
"Hartford","Hartford","Hartford County","09003","CT","Connecticut","41.8064","-72.7329","893561"
"Kern","Kern","Kern County","06029","CA","California","35.3429","-118.7299","887641"
"Pierce","Pierce","Pierce County","53053","WA","Washington","47.0241","-122.1046","877013"
"San Francisco","San Francisco","San Francisco County","06075","CA","California","37.7562","-122.4430","874961"
"Macomb","Macomb","Macomb County","26099","MI","Michigan","42.6955","-82.9323","870325"
"New Haven","New Haven","New Haven County","09009","CT","Connecticut","41.4105","-72.9321","857513"
"Hidalgo","Hidalgo","Hidalgo County","48215","TX","Texas","26.3969","-98.1812","855176"
"Ventura","Ventura","Ventura County","06111","CA","California","34.4565","-119.0836","847263"
"El Paso","El Paso","El Paso County","48141","TX","Texas","31.7686","-106.2348","836062"
"Denton","Denton","Denton County","48121","TX","Texas","33.2052","-97.1170","833822"
"Baltimore","Baltimore","Baltimore County","24005","MD","Maryland","39.4627","-76.6393","828018"
"Middlesex","Middlesex","Middlesex County","34023","NJ","New Jersey","40.4391","-74.4117","825920"
"Worcester","Worcester","Worcester County","25027","MA","Massachusetts","42.3514","-71.9077","824772"
"Montgomery","Montgomery","Montgomery County","42091","PA","Pennsylvania","40.2108","-75.3673","823823"
"Hamilton","Hamilton","Hamilton County","39061","OH","Ohio","39.1955","-84.5428","813589"
"Multnomah","Multnomah","Multnomah County","41051","OR","Oregon","45.5468","-122.4147","804606"
"Snohomish","Snohomish","Snohomish County","53061","WA","Washington","48.0475","-121.6975","798808"
"Suffolk","Suffolk","Suffolk County","25025","MA","Massachusetts","42.3336","-71.0709","796605"
"Essex","Essex","Essex County","34013","NJ","New Jersey","40.7872","-74.2470","795404"
"Oklahoma","Oklahoma","Oklahoma County","40109","OK","Oklahoma","35.5515","-97.4072","787216"
"Essex","Essex","Essex County","25009","MA","Massachusetts","42.6731","-70.9520","783676"
"San Mateo","San Mateo","San Mateo County","06081","CA","California","37.4229","-122.3290","767423"
"Jefferson","Jefferson","Jefferson County","21111","KY","Kentucky","38.1872","-85.6591","767419"
"Fort Bend","Fort Bend","Fort Bend County","48157","TX","Texas","29.5275","-95.7709","765394"
"Cobb","Cobb","Cobb County","13067","GA","Georgia","33.9415","-84.5767","751218"
"DeKalb","DeKalb","DeKalb County","13089","GA","Georgia","33.7715","-84.2264","749323"
"Monroe","Monroe","Monroe County","36055","NY","New York","43.1464","-77.6961","743341"
"San Joaquin","San Joaquin","San Joaquin County","06077","CA","California","37.9348","-121.2714","742603"
"Lee","Lee","Lee County","12071","FL","Florida","26.5778","-81.8337","737468"
"Denver","Denver","Denver County","08031","CO","Colorado","39.7621","-104.8759","705576"
"Lake","Lake","Lake County","17097","IL","Illinois","42.3233","-88.0037","701473"
"Norfolk","Norfolk","Norfolk County","25021","MA","Massachusetts","42.1607","-71.2111","700437"
"El Paso","El Paso","El Paso County","08041","CO","Colorado","38.8321","-104.5255","698974"
"Jackson","Jackson","Jackson County","29095","MO","Missouri","39.0085","-94.3461","696216"
"District of Columbia","District of Columbia","District of Columbia","11001","DC","District of Columbia","38.9047","-77.0163","692683"
"Will","Will","Will County","17197","IL","Illinois","41.4450","-87.9786","689315"
"Davidson","Davidson","Davidson County","47037","TN","Tennessee","36.1695","-86.7848","687488"
"Polk","Polk","Polk County","12105","FL","Florida","27.9489","-81.6976","686218"
"Bernalillo","Bernalillo","Bernalillo County","35001","NM","New Mexico","35.0513","-106.6701","677858"
"Hudson","Hudson","Hudson County","34017","NJ","New Jersey","40.7351","-74.0777","670046"
"Jefferson","Jefferson","Jefferson County","01073","AL","Alabama","33.5543","-86.8964","659680"
"Kent","Kent","Kent County","26081","MI","Michigan","43.0322","-85.5493","648121"
"Tulsa","Tulsa","Tulsa County","40143","OK","Oklahoma","36.1211","-95.9415","646419"
"Arapahoe","Arapahoe","Arapahoe County","08005","CO","Colorado","39.6498","-104.3392","644560"
"Providence","Providence","Providence County","44007","RI","Rhode Island","41.8721","-71.5800","635737"
"Bucks","Bucks","Bucks County","42017","PA","Pennsylvania","40.3370","-75.1069","626806"
"Monmouth","Monmouth","Monmouth County","34025","NJ","New Jersey","40.2603","-74.2213","621659"
"Baltimore","Baltimore","Baltimore City","24510","MD","Maryland","39.3051","-76.6144","609032"
"Utah","Utah","Utah County","49049","UT","Utah","40.1199","-111.6703","605490"
"Ocean","Ocean","Ocean County","34029","NJ","New Jersey","39.8855","-74.2813","596415"
"Johnson","Johnson","Johnson County","20091","KS","Kansas","38.8838","-94.8223","591506"
"Washington","Washington","Washington County","41067","OR","Oregon","45.5601","-123.0984","589481"
"Brevard","Brevard","Brevard County","12009","FL","Florida","28.2937","-80.7323","585507"
"Jefferson","Jefferson","Jefferson County","08059","CO","Colorado","39.5864","-105.2505","574798"
"Montgomery","Montgomery","Montgomery County","48339","TX","Texas","30.3002","-95.5030","571949"
"Anne Arundel","Anne Arundel","Anne Arundel County","24003","MD","Maryland","39.0065","-76.6051","571275"
"Delaware","Delaware","Delaware County","42045","PA","Pennsylvania","39.9167","-75.3991","564554"
"Bristol","Bristol","Bristol County","25005","MA","Massachusetts","41.7972","-71.1144","561037"
"Douglas","Douglas","Douglas County","31055","NE","Nebraska","41.2953","-96.1543","560617"
"New Castle","New Castle","New Castle County","10003","DE","Delaware","39.5768","-75.6527","556165"
"Union","Union","Union County","34039","NJ","New Jersey","40.6600","-74.3085","554033"
"Williamson","Williamson","Williamson County","48491","TX","Texas","30.6480","-97.6008","547604"
"Ramsey","Ramsey","Ramsey County","27123","MN","Minnesota","45.0171","-93.0996","544442"
"Stanislaus","Stanislaus","Stanislaus County","06099","CA","California","37.5591","-120.9977","543194"
"Summit","Summit","Summit County","39153","OH","Ohio","41.1260","-81.5322","541334"
"Lancaster","Lancaster","Lancaster County","42071","PA","Pennsylvania","40.0424","-76.2477","540999"
"Volusia","Volusia","Volusia County","12127","FL","Florida","29.0584","-81.1819","536487"
"Dane","Dane","Dane County","55025","WI","Wisconsin","43.0673","-89.4181","536078"
"Montgomery","Montgomery","Montgomery County","39113","OH","Ohio","39.7546","-84.2906","531670"
"Kane","Kane","Kane County","17089","IL","Illinois","41.9388","-88.4286","531376"
"Guilford","Guilford","Guilford County","37081","NC","North Carolina","36.0795","-79.7889","527868"
"Pasco","Pasco","Pasco County","12101","FL","Florida","28.3091","-82.3932","524602"
"Chester","Chester","Chester County","42029","PA","Pennsylvania","39.9731","-75.7484","519560"
"Plymouth","Plymouth","Plymouth County","25023","MA","Massachusetts","41.9512","-70.8114","515303"
"Sedgwick","Sedgwick","Sedgwick County","20173","KS","Kansas","37.6848","-97.4610","513375"
"Greenville","Greenville","Greenville County","45045","SC","South Carolina","34.8944","-82.3707","507003"
"Camden","Camden","Camden County","34007","NJ","New Jersey","39.8035","-74.9597","506738"
"Spokane","Spokane","Spokane County","53063","WA","Washington","47.6207","-117.4040","505505"
"Adams","Adams","Adams County","08001","CO","Colorado","39.8736","-104.3378","504108"
"Passaic","Passaic","Passaic County","34031","NJ","New Jersey","41.0344","-74.3008","503637"
"Sonoma","Sonoma","Sonoma County","06097","CA","California","38.5283","-122.8874","499772"
"Morris","Morris","Morris County","34027","NJ","New Jersey","40.8620","-74.5445","493379"
"Lake","Lake","Lake County","18089","IN","Indiana","41.4171","-87.3822","485707"
"Polk","Polk","Polk County","19153","IA","Iowa","41.6855","-93.5735","479612"
"Richmond","Richmond","Richmond County","36085","NY","New York","40.5808","-74.1524","474893"
"Clark","Clark","Clark County","53011","WA","Washington","45.7793","-122.4825","473252"
"Hampden","Hampden","Hampden County","25013","MA","Massachusetts","42.1351","-72.6316","467871"
"Onondaga","Onondaga","Onondaga County","36067","NY","New York","43.0058","-76.1946","462872"
"Tulare","Tulare","Tulare County","06107","CA","California","36.2201","-118.8005","461898"
"Prince William","Prince William","Prince William County","51153","VA","Virginia","38.7030","-77.4809","461423"
"Seminole","Seminole","Seminole County","12117","FL","Florida","28.7170","-81.2363","461402"
"Knox","Knox","Knox County","47093","TN","Tennessee","35.9932","-83.9371","461104"
"Washoe","Washoe","Washoe County","32031","NV","Nevada","40.6657","-119.6643","456936"
"Ada","Ada","Ada County","16001","ID","Idaho","43.4511","-116.2412","456849"
"Virginia Beach","Virginia Beach","Virginia Beach City","51810","VA","Virginia","36.7335","-76.0435","450201"
"Burlington","Burlington","Burlington County","34005","NJ","New Jersey","39.8777","-74.6681","445702"
"York","York","York County","42133","PA","Pennsylvania","39.9200","-76.7265","445565"
"Santa Barbara","Santa Barbara","Santa Barbara County","06083","CA","California","34.6729","-120.0165","444829"
"East Baton Rouge","East Baton Rouge","East Baton Rouge Parish","22033","LA","Louisiana","30.5383","-91.0956","443763"
"Solano","Solano","Solano County","06095","CA","California","38.2700","-121.9329","441829"
"Jefferson","Jefferson","Jefferson Parish","22051","LA","Louisiana","29.7872","-90.1274","434850"
"Monterey","Monterey","Monterey County","06053","CA","California","36.2172","-121.2392","433410"
"Pinal","Pinal","Pinal County","04021","AZ","Arizona","32.9044","-111.3448","432793"
"Lucas","Lucas","Lucas County","39095","OH","Ohio","41.6199","-83.6583","431102"
"Cameron","Cameron","Cameron County","48061","TX","Texas","26.1334","-97.5181","421666"
"Dakota","Dakota","Dakota County","27037","MN","Minnesota","44.6719","-93.0654","421453"
"Sarasota","Sarasota","Sarasota County","12115","FL","Florida","27.1845","-82.3315","419496"
"Berks","Berks","Berks County","42011","PA","Pennsylvania","40.4163","-75.9260","418025"
"Mobile","Mobile","Mobile County","01097","AL","Alabama","30.7872","-88.2058","414114"
"Hillsborough","Hillsborough","Hillsborough County","33011","NH","New Hampshire","42.9153","-71.7161","413035"
"Richland","Richland","Richland County","45079","SC","South Carolina","34.0218","-80.9031","411357"
"Clackamas","Clackamas","Clackamas County","41005","OR","Oregon","45.1880","-122.2209","410463"
"Genesee","Genesee","Genesee County","26049","MI","Michigan","43.0217","-83.7067","407875"
"Charleston","Charleston","Charleston County","45019","SC","South Carolina","32.8346","-79.9531","401165"
"Waukesha","Waukesha","Waukesha County","55133","WI","Wisconsin","43.0182","-88.3045","400475"
"Loudoun","Loudoun","Loudoun County","51107","VA","Virginia","39.0907","-77.6357","395134"
"St. Charles","St. Charles","St. Charles County","29183","MO","Missouri","38.7819","-90.6749","394290"
"Pulaski","Pulaski","Pulaski County","05119","AR","Arkansas","34.7700","-92.3119","392967"
"Orleans","Orleans","Orleans Parish","22071","LA","Louisiana","30.0687","-89.9288","390845"
"Placer","Placer","Placer County","06061","CA","California","39.0635","-120.7175","385512"
"Manatee","Manatee","Manatee County","12081","FL","Florida","27.4719","-82.3153","384213"
"Orange","Orange","Orange County","36071","NY","New York","41.4021","-74.3055","380085"
"Butler","Butler","Butler County","39017","OH","Ohio","39.4386","-84.5756","380019"
"Forsyth","Forsyth","Forsyth County","37067","NC","North Carolina","36.1306","-80.2563","375195"
"Lane","Lane","Lane County","41039","OR","Oregon","43.9388","-122.8475","373340"
"Allen","Allen","Allen County","18003","IN","Indiana","41.0909","-85.0666","372575"
"Stark","Stark","Stark County","39151","OH","Ohio","40.8139","-81.3656","372404"
"Collier","Collier","Collier County","12021","FL","Florida","26.1107","-81.3476","371453"
"Mercer","Mercer","Mercer County","34021","NJ","New Jersey","40.2834","-74.7018","367922"
"Washtenaw","Washtenaw","Washtenaw County","26161","MI","Michigan","42.2532","-83.8388","367000"
"Lehigh","Lehigh","Lehigh County","42077","PA","Pennsylvania","40.6127","-75.5923","365052"
"Madison","Madison","Madison County","01089","AL","Alabama","34.7631","-86.5502","362276"
"Nueces","Nueces","Nueces County","48355","TX","Texas","27.7255","-97.6132","361540"
"Hamilton","Hamilton","Hamilton County","47065","TN","Tennessee","35.1808","-85.1648","360919"
"Brazoria","Brazoria","Brazoria County","48039","TX","Texas","29.1897","-95.4519","360677"
"Marion","Marion","Marion County","12083","FL","Florida","29.2102","-82.0567","353526"
"Westmoreland","Westmoreland","Westmoreland County","42129","PA","Pennsylvania","40.3107","-79.4670","352590"
"Osceola","Osceola","Osceola County","12097","FL","Florida","28.0627","-81.1495","351955"
"Anoka","Anoka","Anoka County","27003","MN","Minnesota","45.2733","-93.2465","350253"
"Bell","Bell","Bell County","48027","TX","Texas","31.0377","-97.4782","348574"
"Lake","Lake","Lake County","12069","FL","Florida","28.7615","-81.7113","345867"
"Davis","Davis","Davis County","49011","UT","Utah","40.9900","-112.1115","345767"
"Larimer","Larimer","Larimer County","08069","CO","Colorado","40.6664","-105.4611","344786"
"Chesterfield","Chesterfield","Chesterfield County","51041","VA","Virginia","37.3785","-77.5870","343551"
"Marion","Marion","Marion County","41047","OR","Oregon","44.9033","-122.5849","339641"
"Douglas","Douglas","Douglas County","08035","CO","Colorado","39.3297","-104.9296","336041"
"Galveston","Galveston","Galveston County","48167","TX","Texas","29.3931","-94.9629","332885"
"Cumberland","Cumberland","Cumberland County","37051","NC","North Carolina","35.0486","-78.8276","332861"
"Horry","Horry","Horry County","45051","SC","South Carolina","33.9215","-78.9965","332172"
"Somerset","Somerset","Somerset County","34035","NJ","New Jersey","40.5635","-74.6163","329838"
"Henrico","Henrico","Henrico County","51087","VA","Virginia","37.5380","-77.4058","327535"
"Rockland","Rockland","Rockland County","36087","NY","New York","41.1524","-74.0241","324422"
"Hamilton","Hamilton","Hamilton County","18057","IN","Indiana","40.0725","-86.0520","323117"
"Boulder","Boulder","Boulder County","08013","CO","Colorado","40.0925","-105.3577","322510"
"Fayette","Fayette","Fayette County","21067","KY","Kentucky","38.0423","-84.4587","320601"
"Howard","Howard","Howard County","24027","MD","Maryland","39.2507","-76.9312","318855"
"Luzerne","Luzerne","Luzerne County","42079","PA","Pennsylvania","41.1770","-75.9890","317663"
"Rutherford","Rutherford","Rutherford County","47149","TN","Tennessee","35.8427","-86.4167","315815"
"Escambia","Escambia","Escambia County","12033","FL","Florida","30.6689","-87.3628","313491"
"Lancaster","Lancaster","Lancaster County","31109","NE","Nebraska","40.7842","-96.6878","313158"
"St. Lucie","St. Lucie","St. Lucie County","12111","FL","Florida","27.3773","-80.4720","312947"
"Durham","Durham","Durham County","37063","NC","North Carolina","36.0360","-78.8766","311848"
"St. Louis","St. Louis","St. Louis City","29510","MO","Missouri","38.6358","-90.2451","308174"
"McHenry","McHenry","McHenry County","17111","IL","Illinois","42.3244","-88.4523","307714"
"Lorain","Lorain","Lorain County","39093","OH","Ohio","41.2956","-82.1512","307670"
"Spartanburg","Spartanburg","Spartanburg County","45083","SC","South Carolina","34.9312","-81.9908","307617"
"Albany","Albany","Albany County","36001","NY","New York","42.6002","-73.9736","306968"
"Rockingham","Rockingham","Rockingham County","33015","NH","New Hampshire","42.9876","-71.1254","306359"
"Weld","Weld","Weld County","08123","CO","Colorado","40.5548","-104.3925","305345"
"Lubbock","Lubbock","Lubbock County","48303","TX","Texas","33.6102","-101.8205","304808"
"Northampton","Northampton","Northampton County","42095","PA","Pennsylvania","40.7542","-75.3076","302809"
"Dutchess","Dutchess","Dutchess County","36027","NY","New York","41.7651","-73.7429","293754"
"Anchorage","Anchorage","Anchorage Municipality","02020","AK","Alaska","61.1508","-149.1091","293531"
"Cumberland","Cumberland","Cumberland County","23005","ME","Maine","43.8464","-70.3988","292307"
"Gloucester","Gloucester","Gloucester County","34015","NJ","New Jersey","39.7173","-75.1414","291165"
"Ingham","Ingham","Ingham County","26065","MI","Michigan","42.5971","-84.3735","290587"
"Lexington","Lexington","Lexington County","45063","SC","South Carolina","33.9023","-81.2722","290278"
"Leon","Leon","Leon County","12073","FL","Florida","30.4580","-84.2779","289770"
"Greene","Greene","Greene County","29077","MO","Missouri","37.2580","-93.3420","289756"
"Chatham","Chatham","Chatham County","13051","GA","Georgia","32.0042","-81.1328","288496"
"Ottawa","Ottawa","Ottawa County","26139","MI","Michigan","42.9598","-85.9961","286558"
"Winnebago","Winnebago","Winnebago County","17201","IL","Illinois","42.3363","-89.1609","284819"
"Clayton","Clayton","Clayton County","13063","GA","Georgia","33.5419","-84.3576","283538"
"San Luis Obispo","San Luis Obispo","San Luis Obispo County","06079","CA","California","35.3871","-120.4045","282165"
"Thurston","Thurston","Thurston County","53067","WA","Washington","46.9258","-122.8332","279711"
"Cleveland","Cleveland","Cleveland County","40027","OK","Oklahoma","35.2031","-97.3265","279274"
"Dauphin","Dauphin","Dauphin County","42043","PA","Pennsylvania","40.4155","-76.7795","275632"
"Santa Cruz","Santa Cruz","Santa Cruz County","06087","CA","California","37.0562","-122.0018","273962"
"Erie","Erie","Erie County","42049","PA","Pennsylvania","41.9926","-80.0328","273835"
"Webb","Webb","Webb County","48479","TX","Texas","27.7611","-99.3315","273526"
"Merced","Merced","Merced County","06047","CA","California","37.1919","-120.7177","271382"
"St. Joseph","St. Joseph","St. Joseph County","18141","IN","Indiana","41.6167","-86.2899","270216"
"New London","New London","New London County","09011","CT","Connecticut","41.4866","-72.1015","267390"
"Atlantic","Atlantic","Atlantic County","34001","NJ","New Jersey","39.4777","-74.6610","266105"
"Kitsap","Kitsap","Kitsap County","53035","WA","Washington","47.6132","-122.6717","265882"
"York","York","York County","45091","SC","South Carolina","34.9747","-81.1844","265872"
"Benton","Benton","Benton County","05007","AR","Arkansas","36.3387","-94.2561","265759"
"Alachua","Alachua","Alachua County","12001","FL","Florida","29.6747","-82.3577","265443"
"Madison","Madison","Madison County","17119","IL","Illinois","38.8297","-89.9049","264776"
"Kalamazoo","Kalamazoo","Kalamazoo County","26077","MI","Michigan","42.2455","-85.5312","262745"
"St. Clair","St. Clair","St. Clair County","17163","IL","Illinois","38.4703","-89.9284","262338"
"Brown","Brown","Brown County","55009","WI","Wisconsin","44.4529","-88.0037","261368"
"Marin","Marin","Marin County","06041","CA","California","38.0734","-122.7234","259943"
"Buncombe","Buncombe","Buncombe County","37021","NC","North Carolina","35.6112","-82.5301","256886"
"Washington","Washington","Washington County","27163","MN","Minnesota","45.0387","-92.8839","255938"
"St. Tammany","St. Tammany","St. Tammany Parish","22103","LA","Louisiana","30.4102","-89.9583","255155"
"Jefferson","Jefferson","Jefferson County","48245","TX","Texas","29.8841","-94.1629","254340"
"Harford","Harford","Harford County","24025","MD","Maryland","39.5611","-76.3171","252222"
"Weber","Weber","Weber County","49057","UT","Utah","41.2698","-111.9134","251498"
"Frederick","Frederick","Frederick County","24021","MD","Maryland","39.4722","-77.3980","251422"
"McLennan","McLennan","McLennan County","48309","TX","Texas","31.5524","-97.2018","251089"
"Yakima","Yakima","Yakima County","53077","WA","Washington","46.4571","-120.7384","249697"
"Cumberland","Cumberland","Cumberland County","42041","PA","Pennsylvania","40.1636","-77.2655","249328"
"Cherokee","Cherokee","Cherokee County","13057","GA","Georgia","34.2439","-84.4762","247515"
"Caddo","Caddo","Caddo Parish","22017","LA","Louisiana","32.5801","-93.8823","245831"
"St. Johns","St. Johns","St. Johns County","12109","FL","Florida","29.9016","-81.4407","244674"
"Norfolk","Norfolk","Norfolk City","51710","VA","Virginia","36.8945","-76.2590","244601"
"Clay","Clay","Clay County","29047","MO","Missouri","39.3105","-94.4209","242516"
"Lafayette","Lafayette","Lafayette Parish","22055","LA","Louisiana","30.2068","-92.0639","241973"
"Chesapeake","Chesapeake","Chesapeake City","51550","VA","Virginia","36.6778","-76.3024","239982"
"Hinds","Hinds","Hinds County","28049","MS","Mississippi","32.2667","-90.4428","238797"
"Arlington","Arlington","Arlington County","51013","VA","Virginia","38.8786","-77.1011","233464"
"Washington","Washington","Washington County","05143","AR","Arkansas","35.9791","-94.2156","232289"
"Union","Union","Union County","37179","NC","North Carolina","34.9884","-80.5307","231053"
"Mahoning","Mahoning","Mahoning County","39099","OH","Ohio","41.0146","-80.7763","229961"
"Oneida","Oneida","Oneida County","36065","NY","New York","43.2417","-75.4359","229959"
"Lake","Lake","Lake County","39085","OH","Ohio","41.6966","-81.2373","229954"
"Warren","Warren","Warren County","39165","OH","Ohio","39.4276","-84.1668","229132"
"Saratoga","Saratoga","Saratoga County","36091","NY","New York","43.1074","-73.8639","228502"
"Forsyth","Forsyth","Forsyth County","13117","GA","Georgia","34.2255","-84.1250","228383"
"Yavapai","Yavapai","Yavapai County","04025","AZ","Arizona","34.5999","-112.5540","228067"
"New Hanover","New Hanover","New Hanover County","37129","NC","North Carolina","34.2328","-77.8847","227938"
"Smith","Smith","Smith County","48423","TX","Texas","32.3750","-95.2692","227449"
"Montgomery","Montgomery","Montgomery County","01101","AL","Alabama","32.2203","-86.2076","226941"
"Richmond","Richmond","Richmond City","51760","VA","Virginia","37.5295","-77.4756","226622"
"Butte","Butte","Butte County","06007","CA","California","39.6669","-121.6007","225817"
"Williamson","Williamson","Williamson County","47187","TN","Tennessee","35.8938","-86.8986","225389"
"Henry","Henry","Henry County","13151","GA","Georgia","33.4530","-84.1542","225356"
"Sussex","Sussex","Sussex County","10005","DE","Delaware","38.6606","-75.3900","224384"
"Jefferson","Jefferson","Jefferson County","29099","MO","Missouri","38.2611","-90.5377","223951"
"Linn","Linn","Linn County","19113","IA","Iowa","42.0790","-91.5990","223861"
"Brazos","Brazos","Brazos County","48041","TX","Texas","30.6608","-96.3024","222981"
"Whatcom","Whatcom","Whatcom County","53073","WA","Washington","48.8259","-121.7199","220821"
"Gaston","Gaston","Gaston County","37071","NC","North Carolina","35.2944","-81.1803","219271"
"Canyon","Canyon","Canyon County","16027","ID","Idaho","43.6251","-116.7093","217633"
"Yolo","Yolo","Yolo County","06113","CA","California","38.6866","-121.9016","217352"
"Jackson","Jackson","Jackson County","41029","OR","Oregon","42.4322","-122.7285","216574"
"Doña Ana","Dona Ana","Doña Ana County","35013","NM","New Mexico","32.3526","-106.8328","216069"
"Berkeley","Berkeley","Berkeley County","45015","SC","South Carolina","33.1973","-79.9522","215044"
"Barnstable","Barnstable","Barnstable County","25001","MA","Massachusetts","41.7242","-70.2915","213496"
"Shelby","Shelby","Shelby County","01117","AL","Alabama","33.2643","-86.6607","213432"
"Hays","Hays","Hays County","48209","TX","Texas","30.0581","-98.0311","213366"
"Baldwin","Baldwin","Baldwin County","01003","AL","Alabama","30.7275","-87.7226","212830"
"Clay","Clay","Clay County","12019","FL","Florida","29.9831","-81.8579","211405"
"Niagara","Niagara","Niagara County","36063","NY","New York","43.2001","-78.7452","210820"
"Lackawanna","Lackawanna","Lackawanna County","42069","PA","Pennsylvania","41.4368","-75.6092","210652"
"Champaign","Champaign","Champaign County","17019","IL","Illinois","40.1401","-88.1992","209922"
